Player,Inns,Runs,Overs,Conc,Wkts,Ct,St,Opposition,Ground,StartDate,Result
RAJadeja,1,0,10,68,2,0,0,vAustralia,Nagpur,10/30/2013,yes
RAshwin,2,0,9,68,2,0,0,vAustralia,Perth,1/12/2016,yes
UTYadav,2,0,9.5,68,2,0,0,vAustralia,Melbourne,1/17/2016,yes
UTYadav,1,0,10,71,2,0,0,vSouthAfrica,Kanpur,10/11/2015,yes
MohammedShami,2,0,9.1,72,2,1,0,vWestIndies,Dharamsala,10/17/2014,yes
RVinayKumar,1,0,9,73,2,0,0,vAustralia,Jaipur,10/16/2013,yes
MMSharma,1,0,10,75,2,0,0,vAustralia,Sydney,3/26/2015,yes
UTYadav,2,0,10,75,2,0,0,vSouthAfrica,Cardiff,6/6/2013,yes
JJBumrah,1,0,10,79,2,0,0,vEngland,Pune,1/15/2017,yes
RAJadeja,2,0,9,80,2,0,0,vWestIndies,Dharamsala,10/17/2014,yes
JJBumrah,2,0,9,81,2,0,0,vEngland,Cuttack,1/19/2017,yes
MohammedShami,1,0,10,84,2,0,0,vNewZealand,Auckland,1/25/2014,yes
KMJadhav,2,0,0.1,0,1,1,0,vWestIndies,NorthSound,6/30/2017,no
SKRaina,1,0,1,1,1,0,0,vEngland,Ranchi,1/19/2013,no
SKRaina,1,0,1,2,1,1,0,vZimbabwe,Harare,7/24/2013,no
SKRaina,2,0,2,4,1,1,0,vWestIndies,Kingston,6/30/2013,no
ATRayudu,2,0,2,5,1,1,0,vBangladesh,Dhaka,6/24/2015,no
ATRayudu,1,0,2,8,1,0,0,vEngland,Nottingham,8/30/2014,no
JDUnadkat,1,0,6,8,1,0,0,vZimbabwe,Bulawayo,8/3/2013,no
JYadav,2,0,4,8,1,1,0,vNewZealand,Visakhapatnam,10/29/2016,no
UTYadav,2,0,2,10,1,0,0,vEngland,Birmingham,6/23/2013,no
KMJadhav,1,0,2,11,1,0,0,vNewZealand,Delhi,10/20/2016,no
KMJadhav,1,0,3,12,1,1,0,vSriLanka,Pallekele,8/27/2017,no
SKRaina,2,0,3,12,1,0,0,vEngland,Cardiff,8/27/2014,no
KMJadhav,1,0,4,13,1,1,0,vWestIndies,Kingston,7/6/2017,no
